Using backend: pytorch

SETING: Namespace(CVAE_architecture='separate', DropOut_rate=0.3, Vis_step=5, batch_norm=True, config='experiments.conf', dataSet='cora', decoder_type='ML_SBM', disjoint_transductive_inductive=False, encoder_layers='64', encoder_type='Multi_GCN', epoch_number=100, is_prior=False, lr=0.01, model='KDD', mpath='VGAE_FrameWork_MODEL', negative_sampling_rate=1, num_node=-1, num_of_comunities=128, num_of_relations=1, save_embeddings_to_file=True, seed=123, split_the_data_to_train_test=True, targets=[], use_feature=True)
Using device 0 GeForce GTX TITAN X
Finish spliting dataset to train and test. 
is prior is::::::  False
Epoch: 088 | Loss: 0.199081 | Reconstruction_loss: 0.155361 | z_kl_loss: 0.043721 | Accuracy: 0.932047
Epoch: 089 | Loss: 0.203771 | Reconstruction_loss: 0.160244 | z_kl_loss: 0.043526 | Accuracy: 0.931783
Epoch: 090 | Loss: 0.199804 | Reconstruction_loss: 0.156121 | z_kl_loss: 0.043683 | Accuracy: 0.924286
Epoch: 091 | Loss: 0.199597 | Reconstruction_loss: 0.156418 | z_kl_loss: 0.043179 | Accuracy: 0.919150
Epoch: 092 | Loss: 0.197517 | Reconstruction_loss: 0.155035 | z_kl_loss: 0.042482 | Accuracy: 0.930771
Epoch: 093 | Loss: 0.197528 | Reconstruction_loss: 0.155326 | z_kl_loss: 0.042201 | Accuracy: 0.934932
Epoch: 094 | Loss: 0.186327 | Reconstruction_loss: 0.142714 | z_kl_loss: 0.043613 | Accuracy: 0.928981
Epoch: 095 | Loss: 0.193362 | Reconstruction_loss: 0.148469 | z_kl_loss: 0.044893 | Accuracy: 0.927587
Epoch: 096 | Loss: 0.194819 | Reconstruction_loss: 0.149727 | z_kl_loss: 0.045092 | Accuracy: 0.931948
Epoch: 097 | Loss: 0.197921 | Reconstruction_loss: 0.152760 | z_kl_loss: 0.045161 | Accuracy: 0.933046
Epoch: 098 | Loss: 0.187571 | Reconstruction_loss: 0.142007 | z_kl_loss: 0.045565 | Accuracy: 0.928659
Epoch: 099 | Loss: 0.194081 | Reconstruction_loss: 0.149208 | z_kl_loss: 0.044874 | Accuracy: 0.931743
Epoch: 100 | Loss: 0.189748 | Reconstruction_loss: 0.146198 | z_kl_loss: 0.043550 | Accuracy: 0.933511
single link
auc:  0.8923
acc 0.74
ap:  0.9082281342800941
precision 0.9444444444444444
recall 0.51
HR 1.0
